Designator,Mid X,Mid Y,Rotation,Layer
C1,92.1,-75.9,0.0,bottom
D1,90.5625,-74.6,180.0,bottom
J2,98.0,-79.0,270.0,bottom
L1,100.0,-60.0,270.0,bottom
R1,93.625,-74.6,0.0,bottom
U1,96.505,-75.7,0.0,bottom
